lat;lon;validdate;t_apparent_mean_1h:C
-35.047591;149.129045;2023-12-01T00:00:00Z;27.1
-35.047591;149.129045;2023-12-01T03:00:00Z;29.5
-35.047591;149.129045;2023-12-01T06:00:00Z;25.1
-35.047591;149.129045;2023-12-01T09:00:00Z;19.5
-35.047591;149.129045;2023-12-01T12:00:00Z;14.8
-35.047591;149.129045;2023-12-01T15:00:00Z;14.4
-35.047591;149.129045;2023-12-01T18:00:00Z;13.7
-35.047591;149.129045;2023-12-01T21:00:00Z;17.7
-35.047591;149.129045;2023-12-02T00:00:00Z;27.1
-35.047591;149.129045;2023-12-02T03:00:00Z;29.6
-35.047591;149.129045;2023-12-02T06:00:00Z;24.4
-35.047591;149.129045;2023-12-02T09:00:00Z;17.6
-35.047591;149.129045;2023-12-02T12:00:00Z;13.9
-35.047591;149.129045;2023-12-02T15:00:00Z;11.5
-35.047591;149.129045;2023-12-02T18:00:00Z;10.8
-35.047591;149.129045;2023-12-02T21:00:00Z;15.5
-35.047591;149.129045;2023-12-03T00:00:00Z;25.8
-35.047591;149.129045;2023-12-03T03:00:00Z;27.6
-35.047591;149.129045;2023-12-03T06:00:00Z;24.8
-35.047591;149.129045;2023-12-03T09:00:00Z;15.7
-35.047591;149.129045;2023-12-03T12:00:00Z;12.0
-35.047591;149.129045;2023-12-03T15:00:00Z;11.3
-35.047591;149.129045;2023-12-03T18:00:00Z;10.9
-35.047591;149.129045;2023-12-03T21:00:00Z;16.0
-35.047591;149.129045;2023-12-04T00:00:00Z;27.3
-35.047591;149.129045;2023-12-04T03:00:00Z;29.8
-35.047591;149.129045;2023-12-04T06:00:00Z;26.1
-35.047591;149.129045;2023-12-04T09:00:00Z;20.3
-35.047591;149.129045;2023-12-04T12:00:00Z;15.9
-35.047591;149.129045;2023-12-04T15:00:00Z;14.5
-35.047591;149.129045;2023-12-04T18:00:00Z;13.4
-35.047591;149.129045;2023-12-04T21:00:00Z;20.0
-35.047591;149.129045;2023-12-05T00:00:00Z;30.7
-35.047591;149.129045;2023-12-05T03:00:00Z;35.6
-35.047591;149.129045;2023-12-05T06:00:00Z;32.5
-35.047591;149.129045;2023-12-05T09:00:00Z;23.3
